keys,en,pt,es
RG_WIN,Every colour on a peg of its own.,Cada cor no seu próprio pino.,Cada color en su propio poste.
RG_ONE_LEFT,One colour left to gather.,Falta juntar uma cor.,Queda un color por reunir.
RG_HOME_N_LEFT,That one is home. %d colours left.,Essa está em casa. Faltam %d cores.,Ese ya está en casa. Quedan %d colores.
RG_START,Lift a ring and find it a peg.,Erga um anel e ache um pino para ele.,Levanta un aro y búscale un poste.
RG_N_LEFT,%d colours left to gather.,Faltam juntar %d cores.,Quedan %d colores por reunir.
RG_TAKEN_BACK,Taken back.,Desfeito.,Deshecho.
RG_RESET,The pegs as they were dealt.,Os pinos como vieram.,Los postes como al principio.
RG_ONE_MOVE_LEFT,1 move left,Resta 1 jogada,Queda 1 jugada
RG_MOVES_LEFT,%d moves left,Restam %d jogadas,Quedan %d jugadas
RG_SPARE,Sorted with %d to spare,Resolvido com %d de sobra,Resuelto con %d de sobra
RG_FULL,That peg is full.,Esse pino está cheio.,Ese poste está lleno.
RG_WRONG_COLOUR,A ring only lands on its own colour.,Um anel só pousa na própria cor.,Un aro solo cae sobre su color.
RG_RULES,"Lift the top ring off any peg and set it down on an empty peg or on a ring of its own colour -- nowhere else. Four rings of the same colour fill a peg, and a peg that full locks: nothing ever comes off it again. Nothing here is ever lost, so play freely -- Undo and Reset are always one tap away. The board is done the moment every colour stands alone on a peg of its own.","Erga o anel de cima de qualquer pino e solte-o num pino vazio ou sobre um anel da mesma cor -- em nenhum outro lugar. Quatro anéis da mesma cor enchem um pino, e um pino cheio trava: nada sai dele de novo. Aqui nada se perde, então jogue à vontade -- Desfazer e Recomeçar estão sempre a um toque. O tabuleiro termina quando cada cor fica sozinha num pino só dela.","Levanta el aro de arriba de cualquier poste y suéltalo en un poste vacío o sobre un aro de su mismo color -- en ningún otro lugar. Cuatro aros del mismo color llenan un poste, y un poste lleno se bloquea: ya nada sale de él. Aquí nada se pierde, así que juega con calma -- Deshacer y Reiniciar siempre están a un toque. El tablero termina cuando cada color queda solo en un poste propio."
RG_RULES_INSANE,"On Insane you have a budget of moves, only two over the fewest this deal can be sorted in, and no hints. Undo gives a move back.","No Insano você tem um limite de jogadas, só duas a mais que o mínimo para resolver esta rodada, e nenhuma dica. Desfazer devolve uma jogada.","En Demencial tienes un límite de jugadas, solo dos más que el mínimo para resolver esta partida, y ninguna pista. Deshacer te devuelve una jugada."
FL_TIP_TAP,Tap a length of wire to turn it a quarter turn.,Toque num pedaço de fio para girá-lo um quarto de volta.,Toca un tramo de cable para girarlo un cuarto de vuelta.
FL_TIP_POST,The post in the middle is where the light comes from.,A luz vem do poste no meio.,La luz sale del poste del centro.
FL_TIP_WARM,Warm wire is live. Pale wire has not been reached yet.,Fio quente está aceso. Fio pálido ainda não foi alcançado.,El cable cálido está encendido. El pálido aún no recibe luz.
FL_TIP_DONE,Done when every lantern is lit and no end is loose.,Pronto quando toda lanterna acende e nenhuma ponta fica solta.,Listo cuando cada farol se enciende y no queda ninguna punta suelta.
FL_PINNED,A hint pinned that one where it belongs.,Uma dica prendeu esse no lugar certo.,Una pista fijó ese en su lugar.
FL_CROSS,A cross is already every way round.,Uma cruz já é igual de todo lado.,Una cruz ya es igual por todos lados.
FL_NO_LOOSE,No loose ends left -- now reach them all.,Nenhuma ponta solta -- agora acenda todas.,Ninguna punta suelta -- ahora enciéndelos todos.
FL_ONE_DARK,One lantern still in the dark.,Falta acender uma lanterna.,Queda un farol a oscuras.
FL_N_DARK,%d still in the dark.,Faltam %d no escuro.,Quedan %d a oscuras.
FL_TURNED_BACK,Turned back.,Desfeito.,Deshecho.
FL_HINT,Pinned. That one could only go one way.,Preso. Esse só podia ficar de um jeito.,Fijado. Ese solo podía ir de una forma.
FL_RESET,A fresh tangle.,Um emaranhado novo.,Un enredo nuevo.
FL_WIN,Every lantern is lit.,Todas as lanternas acesas.,Todos los faroles encendidos.
FL_RULES,"Every cell of the garden holds one length of wire, and the lantern post stands in the middle. Tap a piece to turn it a quarter turn clockwise -- that is the only move, and four taps bring it back where it started. A cross is already every way round, so it will not turn. Wire joined all the way back to the post runs warm and gold; everything else is pale, and a stub that meets nothing stops short with a rounded end. The garden is done when every stub meets a stub and every lantern is lit. Nothing can be lost and nothing can be wrong, so there is no Check.","Cada casa do jardim tem um pedaço de fio, e o poste das lanternas fica no meio. Toque numa peça para girá-la um quarto de volta no sentido horário -- é a única jogada, e quatro toques a trazem de volta ao começo. Uma cruz já é igual de todo lado, então não gira. O fio ligado até o poste fica quente e dourado; o resto fica pálido, e uma ponta que não encontra nada termina arredondada. O jardim fica pronto quando cada ponta encontra outra e todas as lanternas acendem. Nada se perde e nada fica errado, então não há Conferir.","Cada casilla del jardín tiene un tramo de cable, y el poste de los faroles está en el centro. Toca una pieza para girarla un cuarto de vuelta en sentido horario -- es la única jugada, y cuatro toques la dejan como empezó. Una cruz ya es igual por todos lados, así que no gira. El cable unido hasta el poste se vuelve cálido y dorado; lo demás queda pálido, y una punta que no encuentra nada termina redondeada. El jardín está listo cuando cada punta encuentra otra y todos los faroles se encienden. Nada se pierde y nada puede estar mal, así que no hay Comprobar."
HTP_TITLE,How to play %s,Como jogar %s,Cómo jugar %s
HTP_BINAIRO_MOVE,Tap in the missing symbol,Toque o símbolo que falta,Toca el símbolo que falta
HTP_START,Start with one move,Comece com uma jogada,Empieza con una jugada
HTP_TIP,Tip: %s,Dica: %s,Consejo: %s
HTP_CONTINUE,Continue,Continuar,Continuar
HTP_FALLBACK_RULES,Solve today's puzzle.,Resolva o desafio de hoje.,Resuelve el reto de hoy.
HTP_FALLBACK_TIP,Look for the simplest move first.,Procure primeiro a jogada mais simples.,Busca primero la jugada más sencilla.
HTP_TWO_MOONS,Two moons need a sun,Duas luas pedem um sol,Dos lunas piden un sol
HTP_LESSON_CB,"Place friends, then use the feedback",Posicione amigos e use as pistas,Coloca amigos y usa las pistas
HTP_LESSON_BAL,Compare both sides to find each weight,Compare os dois lados para achar cada peso,Compara ambos lados para hallar cada peso
HTP_LESSON_UT,Drag lanterns until no cords cross,Arraste lanternas até nenhum fio se cruzar,Arrastra faroles hasta que ningún cordón se cruce
HTP_LESSON_SK,Drag a rectangle around the right number of cells,Arraste um retângulo com o número certo de casas,Arrastra un rectángulo con el número justo de casillas
HTP_LESSON_TN,Place one tent beside each tree,Ponha uma barraca ao lado de cada árvore,Pon una carpa junto a cada árbol
HTP_LESSON_LU,Place lanterns so every open cell is lit,Ponha lanternas para iluminar cada casa livre,Pon faroles para iluminar cada casilla libre
HTP_LESSON_OL,Trace every path without lifting,Trace todo o caminho sem tirar o dedo,Traza todo el camino sin levantar el dedo
HTP_LESSON_NG,The clue tells you how many cells to fill,A pista diz quantas casas pintar,La pista dice cuántas casillas pintar
HTP_LESSON_QN,"Place one queen in each row, column and colour","Ponha uma rainha em cada linha, coluna e cor","Pon una reina en cada fila, columna y color"
HTP_LESSON_HW,Type a word and use the colour clues,Digite uma palavra e use as cores como pista,Escribe una palabra y usa las pistas de color
HTP_LESSON_WT,Drag through neighbouring letters to make a word,Arraste por letras vizinhas para formar uma palavra,Arrastra por letras vecinas para formar una palabra
HTP_LESSON_MP,Mark the cells that hide mushrooms,Marque as casas que escondem cogumelos,Marca las casillas que esconden hongos
HTP_LESSON_SD,"Use each number once in every row, column and box","Use cada número uma vez em cada linha, coluna e bloco","Usa cada número una vez en cada fila, columna y bloque"
HTP_LESSON_BR,Connect islands with one or two bridges,Ligue as ilhas com uma ou duas pontes,Une las islas con uno o dos puentes
HTP_LESSON_QL,Join matching patches into the shown shape,Junte os retalhos na forma mostrada,Junta los retazos en la forma indicada
HTP_LESSON_PP,Draw each plane from its head in a straight line,"Trace cada avião a partir da ponta, em linha reta","Traza cada avión desde su punta, en línea recta"
HTP_LESSON_RG,Rotate rings until every colour lines up,Gire os anéis até alinhar cada cor,Gira los aros hasta alinear cada color
HTP_LESSON_ANY,Make one clear move at a time,Faça uma jogada clara de cada vez,Haz una jugada clara a la vez
TRAY_TILE,Tile,Bloco,Bloque
TRAY_CROSS,Cross,Xis,Cruz
TRAY_QUEEN,Queen,Rainha,Reina
TRAY_MUSHROOM,Mushroom,Cogumelo,Hongo
TRAY_PEBBLE,Pebble,Pedrinha,Piedrita
TRAY_GIVEN,GIVEN,DADO,DADO
WIN_PERFECT,Perfect balance!,Equilíbrio perfeito!,¡Equilibrio perfecto!
WIN_ONE_MOVE,1 move,1 jogada,1 jugada
WIN_N_MOVES,%d moves,%d jogadas,%d jugadas
WIN_ONE_HINT,1 hint,1 dica,1 pista
WIN_N_HINTS,%d hints,%d dicas,%d pistas
ISLAND_0,Sunlit Cliffs,Falésias do Sol,Acantilados del Sol
ISLAND_1,Moss Harbour,Porto do Musgo,Puerto del Musgo
ISLAND_2,Lantern Cove,Enseada das Lanternas,Cala de los Faroles
ISLAND_3,Driftwood Point,Ponta do Tronco,Punta del Tronco
ISLAND_4,Heron Shallows,Baixio das Garças,Bajío de las Garzas
ISLAND_5,Fernwater Isle,Ilha das Samambaias,Isla de los Helechos
ISLAND_6,Pebble Reach,Praia dos Seixos,Playa de los Guijarros
ISLAND_7,Windmere Rock,Rochedo dos Ventos,Roca de los Vientos
ISLAND_8,Tidepool Terrace,Terraço das Poças,Terraza de las Pozas
ISLAND_9,Quiet Anchorage,Ancoradouro Sereno,Fondeadero Sereno
ISLAND_10,Bramble Key,Ilhota das Amoras,Cayo de las Zarzas
ISLAND_11,Saltgrass Hollow,Vale do Sal,Hondonada del Salitre
ISLAND_12,Kestrel Ledge,Mirante do Falcão,Cornisa del Cernícalo
ISLAND_13,Cinder Shoal,Banco das Cinzas,Bajo de las Cenizas
ISLAND_14,Lily Landing,Cais dos Lírios,Muelle de los Lirios
ISLAND_15,Foxglove Cay,Ilhota das Dedaleiras,Cayo de las Dedaleras
ISLAND_16,Willow Strand,Praia dos Salgueiros,Playa de los Sauces
ISLAND_17,Marigold Bank,Margem das Calêndulas,Ribera de las Caléndulas
ISLAND_18,Otter Narrows,Estreito das Lontras,Estrecho de las Nutrias
ISLAND_19,Copper Cliffs,Falésias de Cobre,Acantilados de Cobre
ISLAND_20,Starling Rise,Colina dos Estorninhos,Loma de los Estorninos
ISLAND_21,Seagrass Flats,Campos de Algas,Llanos de Algas
ISLAND_22,Birch Haven,Refúgio das Bétulas,Refugio de los Abedules
ISLAND_23,Puffin Steps,Degraus das Gaivotas,Escalones del Frailecillo
CP_TIP_START,Start on leaf 1 and drag. Every square grows a segment.,Comece na folha 1 e arraste. Cada quadrado vira um gomo.,Empieza en la hoja 1 y arrastra. Cada cuadro suma un segmento.
CP_TIP_ORDER,"Eat the leaves in order: 1, then 2, then 3.","Coma as folhas em ordem: 1, depois 2, depois 3.","Come las hojas en orden: 1, luego 2, luego 3."
CP_TIP_FILL,Fill every square. The last leaf is the last bite.,Preencha todos os quadrados. A última folha é a última mordida.,Llena todos los cuadros. La última hoja es el último bocado.
CP_TIP_BACK,Drag back over the body to take steps back.,Arraste de volta sobre o corpo para desfazer passos.,Arrastra de vuelta sobre el cuerpo para deshacer pasos.
CP_TIP_FENCE,Fences stand between squares. Go round them.,As cercas ficam entre os quadrados. Dê a volta.,Las cercas están entre los cuadros. Rodéalas.
CP_START,Start on leaf 1.,Comece na folha 1.,Empieza en la hoja 1.
CP_FROM_HEAD,Drag from the caterpillar's head.,Arraste a partir da cabeça da lagarta.,Arrastra desde la cabeza de la oruga.
CP_NO_FENCE,A fence. The caterpillar goes round it.,Uma cerca. A lagarta dá a volta.,Una cerca. La oruga la rodea.
CP_NO_ORDER,Leaf %d can wait. Leaf %d comes first.,A folha %d pode esperar. A folha %d vem antes.,La hoja %d puede esperar. Primero va la hoja %d.
CP_NO_LAST,Leaf %d is the last bite. Fill every square first.,A folha %d é a última mordida. Preencha todos os quadrados antes.,La hoja %d es el último bocado. Llena todos los cuadros antes.
CP_LEAF_ONE,Leaf %d. One to go.,Folha %d. Falta uma.,Hoja %d. Queda una.
CP_LEAF_N,Leaf %d. %d to go.,Folha %d. Faltam %d.,Hoja %d. Quedan %d.
CP_UNDONE,One stroke taken back.,Um traço desfeito.,Un trazo deshecho.
CP_HINT,"The next stretch, from the answer.","O próximo trecho, direto da resposta.","El siguiente tramo, sacado de la respuesta."
CP_WIN,"The whole garden, leaf by leaf.","O jardim inteiro, folha por folha.","Todo el jardín, hoja por hoja."
CP_RULES,"Press leaf 1 and drag: every square you cross grows the caterpillar one segment. It moves side to side or up and down, never onto itself and never through a fence. It eats the leaves in order, and the last leaf must be its last bite. Fill every square of the garden and end on the last leaf. Drag back over the body to take steps back, or press anywhere on it to cut it back to there.","Toque na folha 1 e arraste: cada quadrado que você cruza faz a lagarta crescer um gomo. Ela anda para os lados ou para cima e para baixo, nunca por cima de si mesma e nunca através de uma cerca. Ela come as folhas em ordem, e a última folha tem que ser a última mordida. Preencha todos os quadrados do jardim e termine na última folha. Arraste de volta sobre o corpo para desfazer passos, ou toque em qualquer ponto dele para cortá-lo até ali.","Pulsa la hoja 1 y arrastra: cada cuadro que cruzas hace crecer a la oruga un segmento. Se mueve de lado o hacia arriba y abajo, nunca sobre sí misma ni a través de una cerca. Come las hojas en orden, y la última hoja debe ser su último bocado. Llena todos los cuadros del jardín y termina en la última hoja. Arrastra de vuelta sobre el cuerpo para deshacer pasos, o pulsa cualquier punto de él para cortarlo hasta ahí."
CP_BLURB,"Walk every square, eating the leaves in order.","Passe por todos os quadrados, comendo as folhas em ordem.",Recorre todos los cuadros comiendo las hojas en orden.
CP_SHORT,"Every square,\nleaf by leaf.","Cada quadrado,\nfolha por folha.","Cada cuadro,\nhoja por hoja."
CP_MOTTO,"Leaf by leaf, every square","Folha por folha, cada quadrado","Hoja a hoja, cada cuadro"
CP_LVL_0,5 × 5 garden,Jardim 5 × 5,Jardín 5 × 5
CP_LVL_1,"6 × 6 garden, fences","Jardim 6 × 6, com cercas","Jardín 6 × 6, con cercas"
CP_LVL_2,"7 × 7 garden, fences","Jardim 7 × 7, com cercas","Jardín 7 × 7, con cercas"
CP_LVL_3,"8 × 8 garden, fences","Jardim 8 × 8, com cercas","Jardín 8 × 8, con cercas"
SB_TIP_DRAG,Drag a mirror along its rail. The light follows.,Arraste um espelho pelo trilho. A luz vai junto.,Arrastra un espejo por su riel. La luz lo sigue.
SB_TIP_GOAL,"Light every dewdrop, then end in the bud.",Acenda todas as gotas de orvalho e termine no botão.,Ilumina todas las gotas de rocío y termina en el capullo.
SB_TIP_CUP,"A copper cup sends the light back, one lane over.","Uma concha de cobre devolve a luz, uma faixa ao lado.","Una copa de cobre devuelve la luz, un carril más allá."
SB_TIP_MIRROR,Mirrors turn the light on either face.,Os espelhos desviam a luz pelos dois lados.,Los espejos desvían la luz por ambas caras.
SB_TIP_STOP,A pot stops the light. So does the back of a cup.,Um vaso bloqueia a luz. As costas de uma concha também.,Una maceta detiene la luz. También el dorso de una copa.
SB_PINNED,That one is home. The hint pinned it.,Esse já está no lugar. A dica o fixou.,Esa ya está en su sitio. La pista la fijó.
SB_TAKEN,Another piece stands there.,Outra peça está ali.,Otra pieza está ahí.
SB_BUD_DRY_ONE,The bud wants every drop first. One is still dry.,O botão quer todas as gotas antes. Uma ainda está seca.,El capullo quiere todas las gotas antes. Una sigue seca.
SB_BUD_DRY_N,The bud wants every drop first. %d are still dry.,O botão quer todas as gotas antes. %d ainda estão secas.,El capullo quiere todas las gotas antes. %d siguen secas.
SB_UNDONE,One slide taken back.,Um deslize desfeito.,Un deslizamiento deshecho.
SB_HINT,That one is home. It stays pinned.,Esse está no lugar. Fica fixo.,Esa está en su sitio. Queda fija.
SB_WIN,"Every dewdrop, and the bud is open.","Todas as gotas, e o botão se abriu.","Todas las gotas, y el capullo se abrió."
SB_RULES,"The sun comes in through a gap in the glass as one beam. Drag a brass mirror or a copper cup along its rail, or tap an empty peg to send its piece there, and the light follows live. A mirror turns the light on either face; a cup takes it back the way it came, one lane over, and stops it at its back. Pots stop it too. Light every dewdrop, then end the beam in the bud.","O sol entra por uma fresta no vidro como um único raio. Arraste um espelho de latão ou uma concha de cobre pelo trilho, ou toque num pino vazio para mandar a peça até lá, e a luz acompanha na hora. Um espelho desvia a luz pelos dois lados; uma concha a devolve por onde veio, uma faixa ao lado, e a bloqueia pelas costas. Os vasos também bloqueiam. Acenda todas as gotas de orvalho e termine o raio no botão.","El sol entra por una rendija del cristal como un solo rayo. Arrastra un espejo de latón o una copa de cobre por su riel, o toca una clavija vacía para enviar su pieza allí, y la luz lo sigue al instante. Un espejo desvía la luz por ambas caras; una copa la devuelve por donde vino, un carril más allá, y la detiene por el dorso. Las macetas también la detienen. Ilumina todas las gotas de rocío y termina el rayo en el capullo."
SB_BLURB,Slide the mirrors and bend the light to the bud.,Deslize os espelhos e leve a luz até o botão.,Desliza los espejos y lleva la luz al capullo.
SB_SHORT,"Every drop,\nthen the bud.","Cada gota,\ndepois o botão.","Cada gota,\nluego el capullo."
SB_MOTTO,"Every drop, then the bud","Cada gota, depois o botão","Cada gota, luego el capullo"
SB_LVL_0,"5 × 6 floor, 3 pieces","Piso 5 × 6, 3 peças","Suelo 5 × 6, 3 piezas"
SB_LVL_1,"6 × 7 floor, 4–5 pieces","Piso 6 × 7, 4–5 peças","Suelo 6 × 7, 4–5 piezas"
SB_LVL_2,"7 × 8 floor, 6 pieces","Piso 7 × 8, 6 peças","Suelo 7 × 8, 6 piezas"
SB_LVL_3,"7 × 8 floor, 7 pieces, crossing rails","Piso 7 × 8, 7 peças, trilhos cruzados","Suelo 7 × 8, 7 piezas, rieles cruzados"
KN_TIP_TAP,Tap a dot. Your knight hops in an L.,Toque num ponto. Seu cavalo salta em L.,Toca un punto. Tu caballo salta en L.
KN_TIP_GOAL,Take the rose king to win.,Capture o rei rosa para vencer.,Captura al rey rosa para ganar.
KN_TIP_ANSWER,"Every rose knight answers your move, hopping toward you.","Cada cavalo rosa responde ao seu lance, saltando na sua direção.","Cada caballo rosa responde a tu jugada, saltando hacia ti."
KN_TIP_CORNERS,Never land on a square with rose corners. A rose knight reaches it.,Nunca pare numa casa com cantos rosa. Um cavalo rosa alcança ela.,Nunca caigas en una casilla con esquinas rosa. Un caballo rosa la alcanza.
KN_TIP_TAKE,Land on a rose knight and it is taken.,Pare sobre um cavalo rosa e ele é capturado.,Cae sobre un caballo rosa y queda capturado.
KN_CAUGHT,Caught! That square was in a rose knight's reach. One move back.,Pego! Aquela casa estava ao alcance de um cavalo rosa. Um lance atrás.,¡Atrapado! Esa casilla estaba al alcance de un caballo rosa. Una jugada atrás.
KN_TAKEN,Taken. One fewer to answer you.,Capturado. Um a menos para responder.,Capturado. Uno menos para responderte.
KN_HINT,That is the next move of the shortest way.,Esse é o próximo lance do caminho mais curto.,Esa es la siguiente jugada del camino más corto.
KN_STUCK,"No way through from here. Undo, or start again.","Não há saída daqui. Desfaça, ou comece de novo.","No hay salida desde aquí. Deshaz, o empieza de nuevo."
KN_L,"A knight moves in an L: two one way, one across.","O cavalo anda em L: duas casas para um lado, uma para o outro.","El caballo se mueve en L: dos casillas hacia un lado, una hacia el otro."
KN_NO_MOVES,"No moves left. Undo one, or start again.","Sem lances restantes. Desfaça um, ou comece de novo.","No quedan jugadas. Deshaz una, o empieza de nuevo."
KN_LAST_MOVE,"That was the last move. Undo one, or start again.","Esse foi o último lance. Desfaça um, ou comece de novo.","Esa fue la última jugada. Deshaz una, o empieza de nuevo."
KN_UNDONE,One move taken back.,Um lance desfeito.,Una jugada deshecha.
KN_WIN,Check and mate. The rose king is yours.,Xeque-mate. O rei rosa é seu.,Jaque mate. El rey rosa es tuyo.
KN_MOVES_LEFT,%d moves left,Restam %d lances,Quedan %d jugadas
KN_ONE_MOVE_LEFT,1 move left,Resta 1 lance,Queda 1 jugada
KN_RULES,"Your cream knight hops in an L, two squares one way and one across, as in chess. Take the rose king to win: land on his square. The king never moves, but after every hop of yours each rose knight answers: it takes you if it can reach you, and otherwise hops to the square nearest you. Rose corners mark every square a rose knight reaches right now; land on one and you are caught, and the board goes back one move. Land on a rose knight and it is taken.","Seu cavalo creme salta em L, duas casas para um lado e uma para o outro, como no xadrez. Capture o rei rosa para vencer: pare na casa dele. O rei nunca se move, mas depois de cada salto seu cada cavalo rosa responde: captura você se alcançar, senão salta para a casa mais perto de você. Cantos rosa marcam cada casa que um cavalo rosa alcança agora; pare numa delas e você é pego, e o tabuleiro volta um lance. Pare sobre um cavalo rosa e ele é capturado.","Tu caballo crema salta en L, dos casillas hacia un lado y una hacia el otro, como en el ajedrez. Captura al rey rosa para ganar: cae en su casilla. El rey nunca se mueve, pero tras cada salto tuyo cada caballo rosa responde: te captura si te alcanza, y si no salta a la casilla más cercana a ti. Las esquinas rosa marcan cada casilla que un caballo rosa alcanza ahora; cae en una y te atrapan, y el tablero vuelve una jugada. Cae sobre un caballo rosa y queda capturado."
KN_BLURB,Hop your knight past the guards and take the king.,Salte com seu cavalo pelos guardas e capture o rei.,Salta con tu caballo entre los guardias y captura al rey.
KN_SHORT,"Hop in Ls,\ntake the king.","Salte em L,\ncapture o rei.","Salta en L,\ncaptura al rey."
KN_MOTTO,Take the king,Capture o rei,Captura al rey
KN_LVL_0,"5 × 5 board, 1 rose knight","Tabuleiro 5 × 5, 1 cavalo rosa","Tablero 5 × 5, 1 caballo rosa"
KN_LVL_1,"6 × 6 board, 2 rose knights","Tabuleiro 6 × 6, 2 cavalos rosa","Tablero 6 × 6, 2 caballos rosa"
KN_LVL_2,"7 × 7 board, 2–3 rose knights","Tabuleiro 7 × 7, 2–3 cavalos rosa","Tablero 7 × 7, 2–3 caballos rosa"
KN_LVL_3,"8 × 8 board, 3 rose knights, a move budget","Tabuleiro 8 × 8, 3 cavalos rosa, lances contados","Tablero 8 × 8, 3 caballos rosa, jugadas contadas"
